id,word,deng,ji,situation,wfreq,sfreq,newlink,bopomofo,pinyin
7240,脈搏,精熟,第6級,,5,2,"[['脈搏', ['3809']]]",ㄇㄞˋ ㄅㄛˊ,mài bó
7241,脈絡,精熟,第6級,,19,5,"[['脈絡', ['3811']]]",ㄇㄞˋ ㄌㄨㄛˋ,mài luò
7242,賣命,精熟,第6級,,4,1,"[['賣命', ['3821']]]",ㄇㄞˋ ㄇㄧㄥˋ,mài mìng
7243,瞞,精熟,第6級,,14,5,"[['瞞', ['4129']]]",ㄇㄢˊ,mán
7244,蠻,精熟,第6級,,31,223,"[['蠻', ['4136']]]",ㄇㄢˊ,mán
7245,埋怨,精熟,第6級,,11,6,"[['埋怨', ['4121']]]",ㄇㄢˊ ㄩㄢˋ,mán yuàn
7246,滿懷,精熟,第6級,,14,3,"[['滿懷', ['4161']]]",ㄇㄢˇ ㄏㄨㄞˊ,mǎn huái
7247,滿頭大汗,精熟,第6級,,3,3,"[['滿頭大汗', ['4152']]]",ㄇㄢˇ ㄊㄡˊ ㄉㄚˋ ㄏㄢˋ,mǎn tóu dà hàn
7248,滿心,精熟,第6級,,9,4,"[['滿心', ['4167']]]",ㄇㄢˇ ㄒㄧㄣ,mǎn xīn
7249,滿月,精熟,第6級,,4,3,"[['滿月', ['4180']]]",ㄇㄢˇ ㄩㄝˋ,mǎn yuè
7250,漫步,精熟,第6級,,10,2,"[['漫步', ['4186']]]",ㄇㄢˋ ㄅㄨˋ,màn bù
7251,漫長,精熟,第6級,,23,17,"[['漫長', ['4192']]]",ㄇㄢˋ ㄔㄤˊ,màn cháng
7252,蔓延,精熟,第6級,,8,14,"[['蔓延', ['4219']]]",ㄇㄢˋ ㄧㄢˊ,màn yán
7253,盲,精熟,第6級,,8,7,"[['盲', ['4288']]]",ㄇㄤˊ,máng
7254,盲從,精熟,第6級,,3,0,"[['盲從', ['4296']]]",ㄇㄤˊ ㄘㄨㄥˊ,máng cóng
7255,盲點,精熟,第6級,,5,5,"[['盲點', ['4291']]]",ㄇㄤˊ ㄉㄧㄢˇ,máng diǎn
7256,茫茫,精熟,第6級,,6,4,"[['茫茫', ['4299']]]",ㄇㄤˊ ㄇㄤˊ,máng máng
7257,盲目,精熟,第6級,,15,5,"[['盲目', ['4290']]]",ㄇㄤˊ ㄇㄨˋ,máng mù
7258,茫然,精熟,第6級,,15,5,"[['茫然', ['4300']]]",ㄇㄤˊ ㄖㄢˊ,máng rán
7259,冒充,精熟,第6級,,4,0,"[['冒充', ['4070']]]",ㄇㄠˋ ㄔㄨㄥ,mào chōng
7260,冒犯,精熟,第6級,,8,1,"[['冒犯', ['4062']]]",ㄇㄠˋ ㄈㄢˋ,mào fàn
7261,冒煙,精熟,第6級,,4,3,"[['冒煙', ['4075']]]",ㄇㄠˋ ㄧㄢ,mào yān
7262,枚,精熟,第6級,,20,11,"[['枚', ['3878']]]",ㄇㄟˊ,méi
7263,煤,精熟,第6級,,6,9,"[['煤', ['3917']]]",ㄇㄟˊ,méi
7264,媒介,精熟,第6級,,12,10,"[['媒介', ['3914']]]",ㄇㄟˊ ㄐㄧㄝˋ,méi jiè
7265,媒人,精熟,第6級,,5,2,"[['媒人', ['3916']]]",ㄇㄟˊ ㄖㄣˊ,méi rén
7266,美德,精熟,第6級,,14,5,"[['美德', ['3941']]]",ㄇㄟˇ ㄉㄜˊ,měi dé
7267,美觀,精熟,第6級,,6,11,"[['美觀', ['3951']]]",ㄇㄟˇ ㄍㄨㄢ,měi guān
7268,美貌,精熟,第6級,,11,2,"[['美貌', ['3934']]]",ㄇㄟˇ ㄇㄠˋ,měi mào
7269,每每,精熟,第6級,,9,3,"[['每每', ['3925']]]",ㄇㄟˇ ㄇㄟˇ,měi měi
7270,美術,精熟,第6級,,12,10,"[['美術', ['3966']]]",ㄇㄟˇ ㄕㄨˋ,měi shù
7271,美術館,精熟,第6級,,15,5,"[['美術館', ['3967']]]",ㄇㄟˇ ㄕㄨˋ ㄍㄨㄢˇ,měi shù guǎn
7272,門戶,精熟,第6級,,8,4,"[['門戶', ['4249']]]",ㄇㄣˊ ㄏㄨˋ,mén hù
7273,門檻,精熟,第6級,,12,10,"[['門檻', ['4247']]]",ㄇㄣˊ ㄎㄢˇ,mén kǎn
7274,悶2,精熟,第6級,,17,11,"[['悶', ['4265', '4224']]]",ㄇㄣˋ,mèn
7275,悶悶不樂,精熟,第6級,,6,1,"[['悶悶不樂', ['4266']]]",ㄇㄣˋ ㄇㄣˋ ㄅㄨˊ ㄌㄜˋ,mèn mèn bú lè
7276,朦朧,精熟,第6級,,8,1,"[['朦朧', ['4350']]]",ㄇㄥˊ ㄌㄨㄥˊ,méng lóng
7277,盟友,精熟,第6級,,5,16,"[['盟友', ['4325']]]",ㄇㄥˊ ㄧㄡˇ,méng yǒu
7278,猛烈,精熟,第6級,,13,6,"[['猛烈', ['4358']]]",ㄇㄥˇ ㄌㄧㄝˋ,měng liè
7279,夢幻,精熟,第6級,,12,6,"[['夢幻', ['4379']]]",ㄇㄥˋ ㄏㄨㄢˋ,mèng huàn
7280,夢境,精熟,第6級,,15,4,"[['夢境', ['4381']]]",ㄇㄥˋ ㄐㄧㄥˋ,mèng jìng
7281,瞇,精熟,第6級,,8,1,"[['瞇', ['4392']]]",ㄇㄧ,mī
7282,彌補,精熟,第6級,,20,13,"[['彌補', ['4432']]]",ㄇㄧˊ ㄅㄨˇ,mí bǔ
7283,迷宮,精熟,第6級,,9,3,"[['迷宮', ['4407']]]",ㄇㄧˊ ㄍㄨㄥ,mí gōng
7284,迷惑,精熟,第6級,,14,4,"[['迷惑', ['4410']]]",ㄇㄧˊ ㄏㄨㄛˋ,mí huò
7285,迷戀,精熟,第6級,,9,1,"[['迷戀', ['4404']]]",ㄇㄧˊ ㄌㄧㄢˋ,mí liàn
7286,瀰漫/彌漫,精熟,第6級,,15,10,"[['瀰漫', ['4442']], ['彌漫', ['4433']]]",ㄇㄧˊ ㄇㄢˋ,mí màn
7287,迷失,精熟,第6級,,15,7,"[['迷失', ['4416']]]",ㄇㄧˊ ㄕ,mí shī
7288,迷思,精熟,第6級,,12,6,"[['迷思', ['4418']]]",ㄇㄧˊ ㄙ,mí sī
7289,密,精熟,第6級,,13,16,"[['密', ['4482']]]",ㄇㄧˋ,mì
7290,密不可分,精熟,第6級,,5,4,"[['密不可分', ['4486']]]",ㄇㄧˋ ㄅㄨˋ ㄎㄜˇ ㄈㄣ,mì bù kě fēn
7291,密度,精熟,第6級,,13,23,"[['密度', ['4494']]]",ㄇㄧˋ ㄉㄨˋ,mì dù
7292,密集,精熟,第6級,,11,15,"[['密集', ['4501']]]",ㄇㄧˋ ㄐㄧˊ,mì jí
7293,祕訣/秘訣,精熟,第6級,,15,13,"[['祕訣', ['4477']]]",ㄇㄧˋ ㄐㄩㄝˊ,mì jué
7294,免不了,精熟,第6級,,11,3,"[['免不了', ['4619']]]",ㄇㄧㄢˇ ㄅㄨˋ ㄌㄧㄠˇ,miǎn bù liǎo
7295,免除,精熟,第6級,,8,3,"[['免除', ['4627']]]",ㄇㄧㄢˇ ㄔㄨˊ,miǎn chú
7296,免疫,精熟,第6級,,22,27,"[['免疫', ['4634']]]",ㄇㄧㄢˇ ㄧˋ,miǎn yì
7297,免於,精熟,第6級,,13,6,[],ㄇㄧㄢˇ ㄩˊ,miǎn yú
7298,面孔,精熟,第6級,,18,4,"[['面孔', ['4668']]]",ㄇㄧㄢˋ ㄎㄨㄥˇ,miàn kǒng
7299,面目,精熟,第6級,,9,3,"[['面目', ['4660']]]",ㄇㄧㄢˋ ㄇㄨˋ,miàn mù
7300,面容,精熟,第6級,,9,2,"[['面容', ['4689']]]",ㄇㄧㄢˋ ㄖㄨㄥˊ,miàn róng
7301,面色,精熟,第6級,,7,2,"[['面色', ['4691']]]",ㄇㄧㄢˋ ㄙㄜˋ,miàn sè
7302,瞄,精熟,第6級,,13,2,"[['瞄', ['4547']]]",ㄇㄧㄠˊ,miáo
7303,苗,精熟,第6級,,8,48,"[['苗', ['4535']]]",ㄇㄧㄠˊ,miáo
7304,渺小,精熟,第6級,,6,4,"[['渺小', ['4556']]]",ㄇㄧㄠˇ ㄒㄧㄠˇ,miǎo xiǎo
7305,廟宇,精熟,第6級,,7,4,"[['廟宇', ['4588']]]",ㄇㄧㄠˋ ㄩˇ,miào yǔ
7306,滅絕,精熟,第6級,,8,14,"[['滅絕', ['4527']]]",ㄇㄧㄝˋ ㄐㄩㄝˊ,miè jué
7307,民生,精熟,第6級,,9,26,"[['民生', ['4746']]]",ㄇㄧㄣˊ ㄕㄥ,mín shēng
7308,民俗,精熟,第6級,,10,10,"[['民俗', ['4754']]]",ㄇㄧㄣˊ ㄙㄨˊ,mín sú
7309,民心,精熟,第6級,,8,6,"[['民心', ['4729']]]",ㄇㄧㄣˊ ㄒㄧㄣ,mín xīn
7310,敏捷,精熟,第6級,,9,1,"[['敏捷', ['4781']]]",ㄇㄧㄣˇ ㄐㄧㄝˊ,mǐn jié
7311,鳴,精熟,第6級,,21,7,"[['鳴', ['4940']]]",ㄇㄧㄥˊ,míng
7312,名利,精熟,第6級,,9,4,"[['名利', ['4805']]]",ㄇㄧㄥˊ ㄌㄧˋ,míng lì
7313,明瞭,精熟,第6級,,13,2,"[['明瞭', ['4886']]]",ㄇㄧㄥˊ ㄌㄧㄠˇ,míng liǎo
7314,名氣,精熟,第6級,,11,4,"[['名氣', ['4821']]]",ㄇㄧㄥˊ ㄑㄧˋ,míng qì
7315,名人,精熟,第6級,,17,6,"[['名人', ['4841']]]",ㄇㄧㄥˊ ㄖㄣˊ,míng rén
7316,名堂,精熟,第6級,,5,1,"[['名堂', ['4804']]]",ㄇㄧㄥˊ ㄊㄤˊ,míng táng
7317,冥想,精熟,第6級,,10,1,"[['冥想', ['4926']]]",ㄇㄧㄥˊ ㄒㄧㄤˇ,míng xiǎng
7318,名言,精熟,第6級,,10,4,"[['名言', ['4852']]]",ㄇㄧㄥˊ ㄧㄢˊ,míng yán
7319,名義,精熟,第6級,,22,6,"[['名義', ['4851']]]",ㄇㄧㄥˊ ㄧˋ,míng yì
7320,名譽,精熟,第6級,,10,1,"[['名譽', ['4856']]]",ㄇㄧㄥˊ ㄩˋ,míng yù
7321,明知,精熟,第6級,,12,1,"[['明知', ['4901']]]",ㄇㄧㄥˊ ㄓ,míng zhī
7322,明智,精熟,第6級,,14,4,[],ㄇㄧㄥˊ ㄓˋ,míng zhì
7323,名著,精熟,第6級,,7,1,"[['名著', ['4826']]]",ㄇㄧㄥˊ ㄓㄨˋ,míng zhù
7324,命案,精熟,第6級,,8,2,"[['命案', ['4959']]]",ㄇㄧㄥˋ ㄢˋ,mìng àn
7325,摸索,精熟,第6級,,15,18,"[['摸索', ['3610']]]",ㄇㄛ ㄙㄨㄛˇ,mō suǒ
7326,摩擦,精熟,第6級,,15,10,"[['摩擦', ['3623']]]",ㄇㄛˊ ㄘㄚ,mó cā
7327,魔法,精熟,第6級,,9,6,"[['魔法', ['3643']]]",ㄇㄛˊ ㄈㄚˇ,mó fǎ
7328,模範,精熟,第6級,,7,8,"[['模範', ['3656']]]",ㄇㄛˊ ㄈㄢˋ,mó fàn
7329,磨練,精熟,第6級,,11,11,"[['磨練', ['3631']]]",ㄇㄛˊ ㄌㄧㄢˋ,mó liàn
7330,模擬,精熟,第6級,,14,31,"[['模擬', ['3659']]]",ㄇㄛˊ ㄋㄧˇ,mó nǐ
7331,模式,精熟,第6級,,125,63,"[['模式', ['3665']]]",ㄇㄛˊ ㄕˋ,mó shì
7332,莫,精熟,第6級,,43,14,"[['莫', ['3726', '5069']]]",ㄇㄛˋ,mò
7333,莫大,精熟,第6級,,11,5,[],ㄇㄛˋ ㄉㄚˋ,mò dà
7334,末端,精熟,第6級,,5,7,"[['末端', ['3691']]]",ㄇㄛˋ ㄉㄨㄢ,mò duān
7335,莫非,精熟,第6級,,8,1,"[['莫非', ['3728']]]",ㄇㄛˋ ㄈㄟ,mò fēi
7336,沒落,精熟,第6級,,7,13,"[['沒落', ['3713']]]",ㄇㄛˋ ㄌㄨㄛˋ,mò luò
7337,莫名,精熟,第6級,,14,6,[],ㄇㄛˋ ㄇㄧㄥˊ,mò míng
7338,莫名其妙,精熟,第6級,,14,7,"[['莫名其妙', ['3727']]]",ㄇㄛˋ ㄇㄧㄥˊ ㄑㄧˊ ㄇㄧㄠˋ,mò míng qí miào
7339,默契,精熟,第6級,,9,13,"[['默契', ['3772']]]",ㄇㄛˋ ㄑㄧˋ,mò qì
7340,末日,精熟,第6級,,7,8,"[['末日', ['3700']]]",ㄇㄛˋ ㄖˋ,mò rì
7341,沒收,精熟,第6級,,8,3,"[['沒收', ['3715']]]",ㄇㄛˋ ㄕㄡ,mò shōu
7342,墨水,精熟,第6級,,7,3,"[['墨水', ['3760']]]",ㄇㄛˋ ㄕㄨㄟˇ,mò shuǐ
7343,謀略,精熟,第6級,,10,2,"[['謀略', ['4103']]]",ㄇㄡˊ ㄌㄩㄝˋ,móu lüè
7344,謀殺,精熟,第6級,,37,2,"[['謀殺', ['4109']]]",ㄇㄡˊ ㄕㄚ,móu shā
7345,謀生,精熟,第6級,,9,10,"[['謀生', ['4110']]]",ㄇㄡˊ ㄕㄥ,móu shēng
7346,拇指,精熟,第6級,,8,4,"[['拇指', ['4979']]]",ㄇㄨˇ ㄓˇ,mǔ zhǐ
7347,幕,精熟,第6級,,42,16,"[['幕', ['5082']]]",ㄇㄨˋ,mù
7348,木板,精熟,第6級,,13,9,"[['木板', ['4989']]]",ㄇㄨˋ ㄅㄢˇ,mù bǎn
7349,墓碑,精熟,第6級,,8,2,"[['墓碑', ['5077']]]",ㄇㄨˋ ㄅㄟ,mù bēi
7350,目不轉睛,精熟,第6級,,5,1,"[['目不轉睛', ['5037']]]",ㄇㄨˋ ㄅㄨˋ ㄓㄨㄢˇ ㄐㄧㄥ,mù bù zhuǎn jīng
7351,木材,精熟,第6級,,11,19,"[['木材', ['5023']]]",ㄇㄨˋ ㄘㄞˊ,mù cái
7352,目瞪口呆,精熟,第6級,,9,1,"[['目瞪口呆', ['5039']]]",ㄇㄨˋ ㄉㄥˋ ㄎㄡˇ ㄉㄞ,mù dèng kǒu dāi
7353,墓地,精熟,第6級,,9,1,"[['墓地', ['5078']]]",ㄇㄨˋ ㄉㄧˋ,mù dì
7354,目睹,精熟,第6級,,21,8,"[['目睹', ['5042']]]",ㄇㄨˋ ㄉㄨˇ,mù dǔ
7355,幕後,精熟,第6級,,8,7,"[['幕後', ['5084']]]",ㄇㄨˋ ㄏㄡˋ,mù hòu
7356,目擊,精熟,第6級,,7,5,"[['目擊', ['5050']]]",ㄇㄨˋ ㄐㄧˊ,mù jí
7357,募款,精熟,第6級,,7,17,"[['募款', ['5073']]]",ㄇㄨˋ ㄎㄨㄢˇ,mù kuǎn
7358,幕僚,精熟,第6級,,8,1,"[['幕僚', ['5083']]]",ㄇㄨˋ ㄌㄧㄠˊ,mù liáo
7359,目錄,精熟,第6級,,10,2,"[['目錄', ['5044']]]",ㄇㄨˋ ㄌㄨˋ,mù lù
7360,牧師,精熟,第6級,,40,26,"[['牧師', ['5066']]]",ㄇㄨˋ ㄕ,mù shī
7361,沐浴,精熟,第6級,,7,4,"[['沐浴', ['5030']]]",ㄇㄨˋ ㄩˋ,mù yù
7362,吶喊,精熟,第6級,,9,3,"[['吶喊', ['12154']]]",ㄋㄚˋ ㄏㄢˇ,nà hǎn
7363,納悶,精熟,第6級,,13,3,"[['納悶', ['12157']]]",ㄋㄚˋ ㄇㄣˋ,nà mèn
7364,乃是/乃,精熟,第6級,,185,11,"[['乃是', ['12183']], ['乃', ['12182']]]",ㄋㄞˇ ㄕˋ/ㄋㄞˇ,nǎi shì/nǎi
7365,乃至,精熟,第6級,,24,2,[],ㄋㄞˇ ㄓˋ,nǎi zhì
7366,難關,精熟,第6級,,13,12,"[['難關', ['12457']]]",ㄋㄢˊ ㄍㄨㄢ,nán guān
7367,難堪,精熟,第6級,,13,3,"[['難堪', ['12458']]]",ㄋㄢˊ ㄎㄢ,nán kān
7368,喃喃,精熟,第6級,,16,1,"[['喃喃', ['12433']]]",ㄋㄢˊ ㄋㄢˊ,nán nán
7369,喃喃自語,精熟,第6級,,8,1,"[['喃喃自語', ['12434']]]",ㄋㄢˊ ㄋㄢˊ ㄗˋ ㄩˇ,nán nán zì yǔ
7370,難以置信,精熟,第6級,,10,1,"[['難以置信', ['12477']]]",ㄋㄢˊ ㄧˇ ㄓˋ ㄒㄧㄣˋ,nán yǐ zhì xìn
7371,男子漢,精熟,第6級,,6,4,"[['男子漢', ['12391']]]",ㄋㄢˊ ㄗˇ ㄏㄢˋ,nán zǐ hàn
7372,難2,精熟,第6級,,307,415,"[['難', ['12436', '12496']]]",ㄋㄢˋ,nàn
7373,難民,精熟,第6級,,7,122,"[['難民', ['12498']]]",ㄋㄢˋ ㄇㄧㄣˊ,nàn mín
7374,腦海,精熟,第6級,,33,10,"[['腦海', ['12315']]]",ㄋㄠˇ ㄏㄞˇ,nǎo hǎi
7375,惱怒,精熟,第6級,,8,1,"[['惱怒', ['12293']]]",ㄋㄠˇ ㄋㄨˋ,nǎo nù
7376,鬧劇,精熟,第6級,,5,0,"[['鬧劇', ['12347']]]",ㄋㄠˋ ㄐㄩˋ,nào jù
7377,鬧事,精熟,第6級,,5,0,"[['鬧事', ['12355']]]",ㄋㄠˋ ㄕˋ,nào shì
7378,內側,精熟,第6級,,10,3,[],ㄋㄟˋ ㄘㄜˋ,nèi cè
7379,內閣,精熟,第6級,,29,7,"[['內閣', ['12233']]]",ㄋㄟˋ ㄍㄜˊ,nèi gé
7380,內涵,精熟,第6級,,23,12,"[['內涵', ['12240']]]",ㄋㄟˋ ㄏㄢˊ,nèi hán
7381,內建,精熟,第6級,,3,1,"[['內建', ['45232']]]",ㄋㄟˋ ㄐㄧㄢˋ,nèi jiàn
7382,內幕,精熟,第6級,,6,0,"[['內幕', ['12220']]]",ㄋㄟˋ ㄇㄨˋ,nèi mù
7383,內情,精熟,第6級,,6,1,"[['內情', ['12250']]]",ㄋㄟˋ ㄑㄧㄥˊ,nèi qíng
7384,內臟,精熟,第6級,,9,5,"[['內臟', ['12272']]]",ㄋㄟˋ ㄗㄤˋ,nèi zàng
7385,內戰,精熟,第6級,,11,91,"[['內戰', ['12261']]]",ㄋㄟˋ ㄓㄢˋ,nèi zhàn
7386,嫩,精熟,第6級,,11,18,"[['嫩', ['12501']]]",ㄋㄣˋ,nèn
7387,能耐,精熟,第6級,,8,0,"[['能耐', ['12514']]]",ㄋㄥˊ ㄋㄞˋ,néng nài
7388,擬,精熟,第6級,,20,2,"[['擬', ['12582']]]",ㄋㄧˇ,nǐ
7389,擬定,精熟,第6級,,14,3,"[['擬定', ['12584']]]",ㄋㄧˇ ㄉㄧㄥˋ,nǐ dìng
7390,逆,精熟,第6級,,16,8,"[['逆', ['12597']]]",ㄋㄧˋ,nì
7391,溺愛,精熟,第6級,,5,2,"[['溺愛', ['12625']]]",ㄋㄧˋ ㄞˋ,nì ài
7392,匿名,精熟,第6級,,5,0,"[['匿名', ['12615']]]",ㄋㄧˋ ㄇㄧㄥˊ,nì míng
7393,逆轉,精熟,第6級,,8,5,"[['逆轉', ['12605']]]",ㄋㄧˋ ㄓㄨㄢˇ,nì zhuǎn
7394,年度,精熟,第6級,,15,14,"[['年度', ['12772']]]",ㄋㄧㄢˊ ㄉㄨˋ,nián dù
7395,年間,精熟,第6級,,15,1,"[['年間', ['12800']]]",ㄋㄧㄢˊ ㄐㄧㄢ,nián jiān
7396,年齡層,精熟,第6級,,6,4,"[['年齡層', ['12784']]]",ㄋㄧㄢˊ ㄌㄧㄥˊ ㄘㄥˊ,nián líng céng
7397,年邁,精熟,第6級,,5,5,"[['年邁', ['12765']]]",ㄋㄧㄢˊ ㄇㄞˋ,nián mài
7398,年少,精熟,第6級,,9,3,"[['年少', ['12821']]]",ㄋㄧㄢˊ ㄕㄠˋ,nián shào
7399,年頭,精熟,第6級,,12,9,"[['年頭', ['12774']]]",ㄋㄧㄢˊ ㄊㄡˊ,nián tóu
7400,念念不忘,精熟,第6級,,5,2,"[['念念不忘', ['12871']]]",ㄋㄧㄢˋ ㄋㄧㄢˋ ㄅㄨˊ ㄨㄤˋ,niàn niàn bú wàng
7401,念頭,精熟,第6級,,51,27,"[['念頭', ['12870']]]",ㄋㄧㄢˋ ˙ㄊㄡ,niàn tou
7402,捏,精熟,第6級,,14,12,"[['捏', ['12628']]]",ㄋㄧㄝ,niē
7403,捏造,精熟,第6級,,5,1,"[['捏造', ['12631']]]",ㄋㄧㄝ ㄗㄠˋ,niē zào
7404,凝聚,精熟,第6級,,11,21,"[['凝聚', ['12914']]]",ㄋㄧㄥˊ ㄐㄩˋ,níng jù
7405,凝視,精熟,第6級,,23,1,"[['凝視', ['12919']]]",ㄋㄧㄥˊ ㄕˋ,níng shì
7406,扭,精熟,第6級,,11,2,"[['扭', ['12739']]]",ㄋㄧㄡˇ,niǔ
7407,扭曲,精熟,第6級,,26,8,"[['扭曲', ['12749']]]",ㄋㄧㄡˇ ㄑㄩ,niǔ qū
7408,扭轉,精熟,第6級,,15,9,"[['扭轉', ['12750']]]",ㄋㄧㄡˇ ㄓㄨㄢˇ,niǔ zhuǎn
7409,濃厚,精熟,第6級,,13,13,"[['濃厚', ['13054']]]",ㄋㄨㄥˊ ㄏㄡˋ,nóng hòu
7410,濃密,精熟,第6級,,7,4,"[['濃密', ['13049']]]",ㄋㄨㄥˊ ㄇㄧˋ,nóng mì
7411,濃縮,精熟,第6級,,5,10,"[['濃縮', ['13058']]]",ㄋㄨㄥˊ ㄙㄨㄛ,nóng suō
7412,濃郁,精熟,第6級,,6,4,"[['濃郁', ['13064']]]",ㄋㄨㄥˊ ㄩˋ,nóng yù
7413,奴隸,精熟,第6級,,28,3,"[['奴隸', ['12930']]]",ㄋㄨˊ ㄌㄧˋ,nú lì
7414,怒吼,精熟,第6級,,6,1,"[['怒吼', ['12951']]]",ㄋㄨˋ ㄏㄡˇ,nù hǒu
7415,怒火,精熟,第6級,,11,3,"[['怒火', ['12952']]]",ㄋㄨˋ ㄏㄨㄛˇ,nù huǒ
7416,怒氣,精熟,第6級,,17,3,"[['怒氣', ['12954']]]",ㄋㄨˋ ㄑㄧˋ,nù qì
7417,暖身,精熟,第6級,,3,2,"[['暖身', ['12990']]]",ㄋㄨㄢˇ ㄕㄣ,nuǎn shēn
7418,挪,精熟,第6級,,5,2,"[['挪', ['12960']]]",ㄋㄨㄛˊ,nuó
7419,懦弱,精熟,第6級,,7,1,"[['懦弱', ['12975']]]",ㄋㄨㄛˋ ㄖㄨㄛˋ,nuò ruò
7420,諾言,精熟,第6級,,6,2,"[['諾言', ['12971']]]",ㄋㄨㄛˋ ㄧㄢˊ,nuò yán
7421,女郎,精熟,第6級,,9,1,"[['女郎', ['13092']]]",ㄋㄩˇ ㄌㄤˊ,nǚ láng
7422,女神,精熟,第6級,,13,6,"[['女神', ['13125']]]",ㄋㄩˇ ㄕㄣˊ,nǚ shén
7423,毆打,精熟,第6級,,7,1,"[['毆打', ['39654']]]",ㄡ ㄉㄚˇ,ōu dǎ
7424,嘔吐,精熟,第6級,,12,4,"[['嘔吐', ['39678']]]",ㄡˇ ㄊㄨˋ,ǒu tù
7425,拍馬屁,精熟,第6級,,3,1,"[['拍馬屁', ['2510']]]",ㄆㄞ ㄇㄚˇ ㄆㄧˋ,pāi mǎ pì
7426,拍賣,精熟,第6級,,8,8,"[['拍賣', ['2511']]]",ㄆㄞ ㄇㄞˋ,pāi mài
7427,徘徊,精熟,第6級,,11,6,"[['徘徊', ['2569']]]",ㄆㄞˊ ㄏㄨㄞˊ,pái huái
7428,排擠,精熟,第6級,,7,5,"[['排擠', ['2549']]]",ㄆㄞˊ ㄐㄧˇ,pái jǐ
7429,排名,精熟,第6級,,15,17,"[['排名', ['2532']]]",ㄆㄞˊ ㄇㄧㄥˊ,pái míng
7430,派兵,精熟,第6級,,7,3,"[['派兵', ['2583']]]",ㄆㄞˋ ㄅㄧㄥ,pài bīng
7431,派上用場,精熟,第6級,,5,4,"[['派上用場', ['2589']]]",ㄆㄞˋ ㄕㄤˋ ㄩㄥˋ ㄔㄤˊ,pài shàng yòng cháng
7432,派系,精熟,第6級,,8,7,"[['派系', ['2587']]]",ㄆㄞˋ ㄒㄧˋ,pài xì
7433,攀,精熟,第6級,,9,4,"[['攀', ['2746']]]",ㄆㄢ,pān
7434,盤算,精熟,第6級,,11,2,"[['盤算', ['2783']]]",ㄆㄢˊ ㄙㄨㄢˋ,pán suàn
7435,盤旋,精熟,第6級,,10,3,"[['盤旋', ['2778']]]",ㄆㄢˊ ㄒㄩㄢˊ,pán xuán
7436,叛變,精熟,第6級,,11,2,"[['叛變', ['2802']]]",ㄆㄢˋ ㄅㄧㄢˋ,pàn biàn
7437,判定,精熟,第6級,,9,7,"[['判定', ['2790']]]",ㄆㄢˋ ㄉㄧㄥˋ,pàn dìng
7438,判決,精熟,第6級,,14,5,"[['判決', ['2794']]]",ㄆㄢˋ ㄐㄩㄝˊ,pàn jué
7439,叛亂,精熟,第6級,,11,3,"[['叛亂', ['2805']]]",ㄆㄢˋ ㄌㄨㄢˋ,pàn luàn
7440,叛逆,精熟,第6級,,15,6,"[['叛逆', ['2804']]]",ㄆㄢˋ ㄋㄧˋ,pàn nì
7441,龐大,精熟,第6級,,41,37,"[['龐大', ['2870']]]",ㄆㄤˊ ㄉㄚˋ,páng dà
7442,旁觀,精熟,第6級,,11,2,"[['旁觀', ['2850']]]",ㄆㄤˊ ㄍㄨㄢ,páng guān
7443,徬徨,精熟,第6級,,7,4,"[['徬徨', ['2860']]]",ㄆㄤˊ ㄏㄨㄤˊ,páng huáng
7444,旁人,精熟,第6級,,14,3,"[['旁人', ['2855']]]",ㄆㄤˊ ㄖㄣˊ,páng rén
7445,旁聽,精熟,第6級,,4,0,"[['旁聽', ['2848']]]",ㄆㄤˊ ㄊㄧㄥ,páng tīng
7446,拋,精熟,第6級,,15,6,"[['拋', ['2674']]]",ㄆㄠ,pāo
7447,炮,精熟,第6級,,9,3,"[['炮', ['2722', '2690', '649']]]",ㄆㄠˊ / ㄅㄠ / ㄆㄠˋ,páo / bāo / pào
7448,咆哮,精熟,第6級,,10,2,"[['咆哮', ['2689']]]",ㄆㄠˊ ㄒㄧㄠ,páo xiāo
7449,砲,精熟,第6級,,8,4,"[['砲', ['2732']]]",ㄆㄠˋ,pào
7450,泡沫,精熟,第6級,,12,7,"[['泡沫', ['2714']]]",ㄆㄠˋ ㄇㄛˋ,pào mò
7451,賠償,精熟,第6級,,8,3,"[['賠償', ['2635']]]",ㄆㄟˊ ㄔㄤˊ,péi cháng
7452,培訓,精熟,第6級,,7,19,"[['培訓', ['2606']]]",ㄆㄟˊ ㄒㄩㄣˋ,péi xùn
7453,培育,精熟,第6級,,11,19,"[['培育', ['2609']]]",ㄆㄟˊ ㄩˋ,péi yù
7454,配備,精熟,第6級,,9,9,"[['配備', ['2647']]]",ㄆㄟˋ ㄅㄟˋ,pèi bèi
7455,配對,精熟,第6級,,13,2,"[['配對', ['2654']]]",ㄆㄟˋ ㄉㄨㄟˋ,pèi duì
7456,配音,精熟,第6級,,2,1,"[['配音', ['2669']]]",ㄆㄟˋ ㄧㄣ,pèi yīn
7457,配樂,精熟,第6級,,8,1,"[['配樂', ['2670']]]",ㄆㄟˋ ㄩㄝˋ,pèi yuè
7458,砰,精熟,第6級,,9,4,"[['砰', ['2888']]]",ㄆㄥ,pēng
7459,抨擊,精熟,第6級,,9,5,"[['抨擊', ['2887']]]",ㄆㄥ ㄐㄧˊ,pēng jí
